S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
20315,TIRUVALLUR,Puzhal,"SRI V RAMAKRISHNA HSS, THIRUVOTRIYUR WARD 17","#51 A, NRS ROADTHIRUVOTTRIYUR",600019
20316,TIRUVALLUR,Puzhal,SRI VENKATESWARA PUBLIC SCHOOL (CBSE),"248/2, Gandhi Main Road, Sri Balaji Nagar Annex, Puzhal, Chennai - 600066",600066
20317,TIRUVALLUR,Puzhal,"ST ANNS MAT HSS, MADHAVARAM","THAPALPETTI, MADHAVARAM, CHENNAI - 600 060.",600060
20318,TIRUVALLUR,Puzhal,ST JOHN'S MATRICULATION SCHOOL,"19, ANBAZHAGAN STREETMANALI, CHENNAI",600068
20319,TIRUVALLUR,Puzhal,"ST JOSEPH MATRIC SCHOOL, MADHAVARAM","ST. JOSEPH'S MATRIC HR SEC SCHOOLASSISI NAGAR, MADHAVARAM, CHENNAI",600060
20320,TIRUVALLUR,Puzhal,"ST PAULS MAHAJ. HSS, KALADIPET",11 SATHANGADUKALADIPET CHENNAI,600019
20321,TIRUVALLUR,Puzhal,"ST THOMAS MAT HSS, MADHAVARAM","no 63  &64 ganapathynagar, madhavaram milk coloney,",600051
20322,TIRUVALLUR,Puzhal,"ST THOMAS MS, SATHUMA NAGAR","Christian Gardens,\Sathumanagar,",600019
20323,TIRUVALLUR,Puzhal,"ST. ANTONY'S MATRIC HIGHER SECONDARY SCHOOL, PUZHAL",14/D ST ANTONY'S MAIN ST PUZHAL,600066
20324,TIRUVALLUR,Puzhal,"ST. JOSEPH MAT. HSS, ENNORE","ST.JOSEPH'S MAT.HR.SEC.SCHOOL.ENNORE, CHENNAI",600057
20325,TIRUVALLUR,Puzhal,ST. PAUL'S MATRIC HR.SEC SCHOOL,"16  Dr Ambedkar st, puzhal",600066
20326,TIRUVALLUR,Puzhal,"ST. THOMAS MATRIC HSS, CHINNA SEKKADU","14 sai nagarchinnasekkadu,manali",6000
20327,TIRUVALLUR,Puzhal,ST. Thomas Silver Jubilee Matriculation school. Mathur,"NO 1799 ,THIRD MAIN ROADMATHUR,MMDA",600068
20328,TIRUVALLUR,Puzhal,"ST.ANNE'S GIRLS HR.SEC.SCHOOL,MADHAVARAM","152, G.N.T. ROADMADHAVARAM",600110
20329,TIRUVALLUR,Puzhal,ST.ANNES MAT SCH,"No.152,GNT ROADMADHAVARAM
,PONNIAMMANMEDU,CH",600152
20330,TIRUVALLUR,Puzhal,"ST.ANTONY'S MATRIC HSS, THIRUVOTRIYUR","No 9, 1st street Jothi nagarThiruvottiyur",600019
20331,TIRUVALLUR,Puzhal,ST.CHARLES MATRIC,"No.56, Moorthy Nagar, KathirveduNo.56, Moorthy Nagar, Kathirvedu",600066
20332,TIRUVALLUR,Puzhal,St.JOSEPH'S ACADEMY MATRICULATION HIGH SCHOOL,"RING ROAD HOUSING SECTOR,MADHAVARAM",600060
20333,TIRUVALLUR,Puzhal,"THE BELOVED MATRICULATION HIGHER SECONDARY SCHOOL , MATHUR","#119, MATHUR UNION ROAD, MATHUR, CH- 68.",600068
20334,TIRUVALLUR,Puzhal,"THE WESLEYS MS, KOLATHUR","No 14, Sastri NagarKolathur, Chennai",600099
20335,TIRUVALLUR,Puzhal,"THIRUTHANGAL NADAR VID, THIRUVOTRIYUR","NO 1051, T.H.ROAD, THANGAL, CHENNAI",600019
20336,TIRUVALLUR,Puzhal,VEERA SAVARKAR NETHAJI MATRICULATION SCHOOL,"14, Kumaran Street, Lakshmipuram, Kolathurkolathur, CHENNAI- 99",600099
20337,TIRUVALLUR,Puzhal,VELAMMAL GLOBAL INTERNATIONAL SCHOOL,"no 46,Ambuttur- Redhills RoadPuzhal,Chennai",600066
20338,TIRUVALLUR,Puzhal,"VELAMMAL MATRICULATION HIGHER
SECONDARY SCHOOL, SURAPET , CHENNAI - 600066",RED HILLS MAIN RAODSURAPET,600066
20339,TIRUVALLUR,Puzhal,"VELAMMAL NEW - GEN SCHOOL , THIRUVOTTIYUR","No.11/2,Block No. 19, Ward G, village road, Thiruvottiyur, Chennai, Tamilnadu -600019",600019
20340,TIRUVALLUR,Puzhal,"VELAMMAL VIDHYASHRAM, SURAPET",AMBATTUR REDHILLS ROADSURAPET,600066
20341,TIRUVALLUR,Puzhal,"VELLAIYAN CHETTIAR HSS, THIRUVOTRIYUR",04425733425\04425733425,600019
20342,TIRUVALLUR,Puzhal,"VELLAMMAL NEW GEN SCHOOL , SURAPET",10'ambathur main road,600066
20343,TIRUVALLUR,Puzhal,VELLAMMAL NEW GEN SCHOOL MADHAVARAM,"1005 Paalpannai road, madhavaram, chennai",600060
20344,TIRUVALLUR,Puzhal,"VENKATESWARA MATRIC, ERNAVUR","19-22, BHAJANAI KOIL STREET, NETHAJI NAGARERNAVOOR, CHENNAI",600057
20345,TIRUVALLUR,Puzhal,"VENUS HIGH SCHOOL , THIRUVOTRIYUR","No.5, Saraswathi Nagar, 1st StreeT, Thiruvottiyur, Chennai",600019
20346,TIRUVALLUR,Puzhal,"VICTORY MATRIC, THIRUVOTRIYUR","NO 60,VILLAGE STREET, THIRUVOTRIYUR,",600019
20347,TIRUVALLUR,Puzhal,VOC MATRIC HIGHER SECONDARY SCHOOL ENNORE,Donbasco Road Ennore ChennaiDonbasco Road Ennore Chennai,600057
20348,TIRUVALLUR,Puzhal,VRUKSHA VIDYAASHRAM SCHOOL,"INNER RING ROAD HOUSING SECTOR, MADHAVARAM, CHENNAI.",600060
20349,TIRUVALLUR,R.K.Pet,"A. M. K GOVT (G) HSS,AMMAYARKUPPAM",ARANERI TAMIL SANGAM STREETAMMAIYARKUPPAM,631301
20350,TIRUVALLUR,R.K.Pet,"ANM MS,AMMAIYARKUPPAM",THROWPATHIYAMMAN KOIL ST AMMAIYARKUPPAM,631301
20351,TIRUVALLUR,R.K.Pet,"AYYAN VID,VELLATHUR",vellathurR K PET,631303
20352,TIRUVALLUR,R.K.Pet,BILLABONG HIGH INTERNATIONAL SCHOOL,SVG PURAMTIRUTTANI,631304
20353,TIRUVALLUR,R.K.Pet,"GHS, ADHIVARAGAPURAM",KULAKKARAI STREET\ADHIVARAGAPURAM,631303
