S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
23579,VIRUDHUNAG,Kariyapatti,PANCHAYAT UNION MIDDLE SCHOOL VARALOTTI,AGRAHARAM STREETVARALOTTI,626109
23580,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, A. THOTTIYANKULAM","A. THOTTIYANKULAM, KARIYAPATTI",626106
23581,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, ACHANKULAM","PUMS Achankulam,
Manthoppu, KARIYAPATTI,",626104
23582,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, ARASAKULAM",ARASAKULAM,626115
23583,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, KAMBIKUDI","kambikkudi post kariyapatti taluk , virudhunagar dist",626106
23584,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, KARIAPATTI","PUMS KARIYAPATTI
KARIYAPATTI
PVUIRMUSDkHeUelNaaAlaGgiAaRnallur,",626106
23585,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, KEELA ALAGIANALLUR","kariyapatti, VIRUDHUNAGAR.",626109
23586,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, MANGULAM UDAIKULAM",mangulam udaikulamkurandi,626115
23587,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, MEENATCHIPURAM",kambikudi postkariyapatti taluk,626106
23588,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, MELAKKALANKULAM","PANCHAYAT UNION MIDDLE SCHOOL,
MELAKKALANKULAM, Kariapatti Union, Virudhunagar District",626106
23589,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, MURUGAIYAPURAM","PUMS MURUGAIYAPURAM\K.Puthur (po) Thiruchuli (via), kariapatti (TK)",626129
23590,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, PAPPANAM",PappanamV. Nangoor,626106
23591,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, SURANOOR","PUMS SOORANUR \MUDUKKANKULAM-POST
KARIYAPATTI TALUK VIRUDHUNAGAR DIST",626106
23592,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, T. CHETTIKULAM",T. CHETTIKULAMKARIAPATTI,626106
23593,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, T. VEPPANKULAM","t.veppankulam, kariapatti",626106
23594,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, THOPPUR","PUMS THOPPUR
CHITHUMOONDRADAIPPU KARIYAPATTI",626106
23595,VIRUDHUNAG,Kariyapatti,"PANCHAYAT UNION MIDDLE SCHOOL, VAKKANANKUNDU",PUMS VAKKANANGUNDU KARIYAPATTI-626104,626104
23596,VIRUDHUNAG,Kariyapatti,"SARVA SEVA MATRICULATION SCHOOL, THONUGAL","SARVA SEVA MATRIC HS,
VAKKANANGUNDU  POST, KARIYAPATTI TALUK,",626104
23597,VIRUDHUNAG,Kariyapatti,"SRI SABARI NATIONAL SCHOOL, KARIAPATTI",kazhuvanacheri Road\Kariapatti,626106
23598,VIRUDHUNAG,Kariyapatti,ST.MARYS MATRICULATION SCHOOL KARIAPATTI,"ST.MARY'S MATRICULATION SCHOOL
Kallikudi Road, Kariapatti VIRUDHUNAGAR",626106
23599,VIRUDHUNAG,Kariyapatti,SUNDRAM MATRICULATION HR. SEC. SCHOOL KRISHNAPURAM AVIYUR,"Krishnapuram, Aviyur",626115
23600,VIRUDHUNAG,Narikudi,ASMA MATRICULATION HIGH SCHOOL VEERACHOLAN,"Asma Nagar, VarisaiyurVeeracholan",626612
23601,VIRUDHUNAG,Narikudi,GHS IRUNCHIRAI,"GOVT. HIGH SCHOOL, IRUNCHIRAITIRUCHULI TALUK, VIRUDHUNAGAR Dt.",626612
23602,VIRUDHUNAG,Narikudi,GHS MUTHURAMALINGAPURAM,MUTHURAMALINGAPURAMMANDALAMANICKAM POST,623605
23603,VIRUDHUNAG,Narikudi,GHS SIRUVANOOR,"siruvanoor  ,narikkudi via,  thiruchuli tk",626607
23604,VIRUDHUNAG,Narikudi,GHS ULUTHIMADAI,"GHS,Uluthimadai,Thiruculi Thalk, Virudhunagar
DTGHS&lt;Uluthimadai, Thirupasethi Via,Thiruculi Thalk, Virudhunagar",630610
23605,VIRUDHUNAG,Narikudi,GHSS ANAIKULAM,AnaikulamTiruchuli,626129
23606,VIRUDHUNAG,Narikudi,GHSS ILUPPAIYUR,ILUPPAIYURTRICHULI(Via),626129
23607,VIRUDHUNAG,Narikudi,GHSS KATTANOOR,kattanurkattanur,630610
23608,VIRUDHUNAG,Narikudi,GHSS ULAKUDI,MAIN ROADULAKUDI,626607
23609,VIRUDHUNAG,Narikudi,GHSS VEERACHOLAN,KAMUTHI ROADVEERACHOLAN,626612
23610,VIRUDHUNAG,Narikudi,"GHSS, PANAIYUR",PANAIYURPANAIYUR,626129
23611,VIRUDHUNAG,Narikudi,"GOVERNMENT HIGH SCHOOL , S.VALLAKULAM","S.VALLAKULAM PIDARISERI(POST) PARTHIBANOOR
VIA,
PVIILRLUADIYHAURNKAUGLAARMDISTRICT - 623608",623608
23612,VIRUDHUNAG,Narikudi,GOVERNMENT HIGH SCHOOL PILLAIYARKULAM,THIRUCHULI TK VIRUDHUNAGAR DT,630611
23613,VIRUDHUNAG,Narikudi,"GOVERNMENT HIGH SCHOOL, NALOOR",GHS NALUR THIRUCHULI TK,626607
23614,VIRUDHUNAG,Narikudi,GOVT HIGH SCHOOL PULVOIKARAI,pulvaikarai,630611
23615,VIRUDHUNAG,Narikudi,"KASTURBA GANDHI BALIKA VIDYALAYA, A.MUKKULAM",A.Mukkulam Thiruppuvanam (po),630611
23616,VIRUDHUNAG,Narikudi,"KASTURBA GANDHI BALIKA VIDYALAYA, ANAIKULAM",Trichuli TalukAnaikulam,626129
23617,VIRUDHUNAG,Narikudi,"KASTURBA GANDHI BALIKA VIDYALAYA, NARIKUDI","KK MANIKAM COLONYPETROL BACK SIDE, NARIKUDI",626607
