S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,"SCHOOL ADDRESS
Pillayar Kovil Street",PINCODE
22015,TIRUVARUR,Mannargudi,PUMS.SUNDHARAKOTTAI,Sundarakkottai Mannargudi,614016
22016,TIRUVARUR,Mannargudi,PUMS.THENPATHI,"MIDDLE STREET 57,THENPATHI",614016
22017,TIRUVARUR,Mannargudi,PUMS.VADAPATHI,colony streetvadapathi,614016
22018,TIRUVARUR,Mannargudi,PUMS.VENKARAMPERIYUR,"Pums Vengaramperaiyur,Main road, kamalapuram(po), koothanallur(tk), tiruvarur(dt)",610102
22019,TIRUVARUR,Mannargudi,"UAHS,MANNAI NARAYANASAMY MATRIC, MANNARGUDI","21 MANNAI NARAYANASAMY NAGAR, MANNARGUDI",614001
22020,TIRUVARUR,Mannargudi,"UAHSS,LORD SEVEN HILLS MANNARGUDI","Kumarapuram
Melavasal Mannargudi",614014
22021,TIRUVARUR,Mannargudi,"UAMHS INDIA INTERNATIONAL MATRIC, KOOTHANALLUR","47/68,JAVIA STREET\KOOTHANALLUR",614101
22022,TIRUVARUR,Mannargudi,"UAMHS ST.JOSEPH MATRIC.HIGH SCHOOL,MANNARGUDI","ST JOSEPH MATRIC HIGH SCHOOL , RUCKMANIPALAIYAM ROAD\MANNARGUDI",614001
22023,TIRUVARUR,Mannargudi,"UAMHS SUBASH CHANDRA BOSE MATRIC, MANNARGUDI","SUBASH CHANDRA BOSE MATRIC SCHOOLO 18, OLD TANJORE ROAD, MANNARGUDI, THIRUVARUR",614001
22024,TIRUVARUR,Mannargudi,"UAMHS,ASHOKA SISHU VIHAR MATRIC, MANNARGUDI","135,keelarajaveethi mannargudi.Thiruvarur (Dt) pin-614001",614001
22025,TIRUVARUR,Mannargudi,"UAMHS,BARATHI VIDYALAYA, MANNARGUDI","7 NEW STREET, MANNARGUDI",614001
22026,TIRUVARUR,Mannargudi,"UAMHSS DEVI MATRIC,MANNARGUDI","MELAMARAVAKKADU, THIRUMAKOTTAI MAIN ROAD ASESHAM",614016
22027,TIRUVARUR,Mannargudi,"UAMHSS DHARANI MATRIC ,MANNARGUDI","NO 54, 55, G.S.NORTH STREET, MANNARGUDI",614001
22028,TIRUVARUR,Mannargudi,"UAMHSS OXFORD , KOOTHANALLUR","97, A.R. ROAD, KOOTHANALLUR",614101
22029,TIRUVARUR,Mannargudi,"UAMHSS SAVIOUR JESUS MATRIC, MANNARGUDI","SAVIOUR JESUS MATRIC SCHOOL, 21, KULAINDAIVEL STREET, MANNARGUDI(TK), TIRUVARUR(DT).",614001
22030,TIRUVARUR,Mannargudi,"UAMHSS SBA MATRIC SCHOOL,MANNARGUDI","NO:20, VADASERI ROAD,MANNARGUDI.",614001
22031,TIRUVARUR,Mannargudi,"UAMHSS SRI SHANMUKA , MANNARGUDI","108, Nataraja pillai StreetMannargudi",614001
