S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
4247,DHARMAPURI,Harur,"ST. MARY'S HR. SEC. SCHOOL, HARUR",SH18Mobirippatti,636903
4248,DHARMAPURI,Karimangalam,"BHARATH MATRIC SCHOOL, KARIMANGALAM",KARIMANGALAMKARIMAN,635111
4249,DHARMAPURI,Karimangalam,GHS GUNDAGANUR,THIMMARAYANAHALLI [PO]PALACODE[TK],635106
4250,DHARMAPURI,Karimangalam,GHS KOTTUMARANA HALLI,KOTTUMARANAHALLI POPERIYAMPATTI VIA,635205
4251,DHARMAPURI,Karimangalam,GHS MADHAGIRI,MADHAGIRI\JITTANDAHALLI,636805
4252,DHARMAPURI,Karimangalam,GHS MEKKANAMPATTI,"MEKKANAMPATTI\B.MODHUR PO, PERIYANAHALLI VIA, KARIMANGALAM TK, DHARMAPURI",635205
4253,DHARMAPURI,Karimangalam,GHS THUMBALAHALLI,gendiganahalli postperiyampatti palacode via,635205
4254,DHARMAPURI,Karimangalam,GHSS BANDHARAHALLI,BANDHARAHALLIBANDHARAHALLI,635123
4255,DHARMAPURI,Karimangalam,GHSS BEGARAHALLI,"GOVT HR SEC SCHOOL,
BEGARAHALLI VILL& POST, KARIMANGALAM TK,",636808
4256,DHARMAPURI,Karimangalam,GHSS BOMMAHALLI,BOMMAHALLI,635111
4257,DHARMAPURI,Karimangalam,GHSS HANUMANTHAPURAM,Govt.Hr.Sec.SchoolHanumanthapuram,636802
4258,DHARMAPURI,Karimangalam,GHSS JAKKASAMUDRAM,GHSS JAKKASAMUDRAM PO PALACODE TK DHARMAPURI DT 636805,636805
4259,DHARMAPURI,Karimangalam,GHSS KAMALAPURAM,MALLIKUTTAI POSTKARIMANGALAM TALUK,635205
4260,DHARMAPURI,Karimangalam,GHSS KANNIPATTI,"GHSS\KANNIPATTI
KARIMANGALAM DHARMAPURI-635205",635205
4261,DHARMAPURI,Karimangalam,GHSS KARIMANGALAM - BOYS,MORAPPUR ROADKARIMANGALAM,635111
4262,DHARMAPURI,Karimangalam,GHSS KARIMANGALAM - GIRLS,BACK SIDE POLICE STATIONKARIMANGALAM,635111
4263,DHARMAPURI,Karimangalam,GHSS MALLUPATTI,HOSUR MAIN ROADMALLUPATTI,636805
S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,"SCHOOL ADDRESS
MATLAMPATTI",PINCODE
4264,DHARMAPURI,Karimangalam,GHSS MATLAMPATTI,BAISUHALLI KARIMANGALAM TK,635205
4265,DHARMAPURI,Karimangalam,GHSS PERIYAMPATTI - GIRLS,GOVT.GIRLS HR.SEC.SCHOOLPERIYAMPATTI,635205
4266,DHARMAPURI,Karimangalam,GHSS PERIYAMPATTI Boys,periyampattiperiyampatti,635205
4267,DHARMAPURI,Karimangalam,"KGBV RESIDENTIAL SCHOOL, KARIMANGALAM","GGHSS school campus, karimangalam",635711
4268,DHARMAPURI,Karimangalam,MODEL SCHOOL KARIMANGALAM,"PONNERI VILL, PERIYAMPATTI PO, KARIMANGALAM TK, DHARMAPURI DT. 635 205",635205
4269,DHARMAPURI,Karimangalam,MULLAI HIGH SCHOOL,,
4270,DHARMAPURI,Karimangalam,PUMS ADDILAM,ADILAMADILAM,635205
4271,DHARMAPURI,Karimangalam,PUMS B GETTUR,getturgettur,636808
4272,DHARMAPURI,Karimangalam,PUMS BALLENAHALLI,BALLENAHALLIBALLENAHALLI,635205
4273,DHARMAPURI,Karimangalam,PUMS BODARA HALLI,BodarahalliBodarahalli,635106
4274,DHARMAPURI,Karimangalam,PUMS BOMMANDAHALLI MODUR,MODHUR POKARIMANGALAM TK,635205
4275,DHARMAPURI,Karimangalam,PUMS CHENNAMPATTI,"Chennampatti , a.sappanipatti , karimangalamChennampatti , a.sappanipatti , karimangalam",635205
4276,DHARMAPURI,Karimangalam,PUMS DHASAMBAIL,DHASAMBAILDHASAMBAIL,635106
4277,DHARMAPURI,Karimangalam,PUMS DHINDAL,DHINDALDHINDAL,635111
4278,DHARMAPURI,Karimangalam,PUMS ELUMICHANAHALLI,ELUMICHANAHALLIELUMICHANAHALLI,636808
4279,DHARMAPURI,Karimangalam,PUMS ERRASEEGALA HALLI,erraseegalahalli vii  postkarimangalam  tk,635106
4280,DHARMAPURI,Karimangalam,PUMS GENGUCHETTI PATTI,"PUMS,GENGUCHETTIPATTIMATLAMPATTI P.O",635205
