S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
10659,NAMAKKAL,Namagiripet,"TRINITY VIDHYALAYA MATRICULATION SCHOOL, MULLUKURICHI",MULLUKKURICHIMullukkurichi,636142
10660,NAMAKKAL,Namakkal,Anna-Nehru Matric Hr Sec School,,
10661,NAMAKKAL,Namakkal,"CHRIST KING MATRICULATION HIGHER SECONDARY SCHOOL, NALLUR","260/3a2, Christ King Matric School, Nallur-N.Pudupatty(po), Namakkal.637020.",637020
10662,NAMAKKAL,Namakkal,DR.M.S. UDAYAMURTHY SCHOOL OF EXCELLENCE,EB colonyparamathi Road,637002
10663,NAMAKKAL,Namakkal,FATHIMA RC MIDDLE SCHOOL NAMAKKAL(AIDED),FATHIMA R C MIDDLE SCHOOLTRICHY MAIN ROAD,637001
10664,NAMAKKAL,Namakkal,GGHSS  NAMAKKAL,MOHANUR ROADAMAKKAL,637001
10665,NAMAKKAL,Namakkal,GHS AYYAMPALAYAM,GHS AYYAMPALAYAMNALLIPALAYAM POST,637003
10666,NAMAKKAL,Namakkal,GHS BODHUPATTI,"GHS.BODHUPATTI,BODHUPATTI(PO),NAMAKKAL(DT),N AMAKKAL637003",637003
10667,NAMAKKAL,Namakkal,GHS KEERAMBUR,KEERAMBURKEERAMBUR,637207
10668,NAMAKKAL,Namakkal,GHS MARURPATTI,"GOVERNMENT HIGH SCHOOLMARURPATTI, NAMAKKAL",637019
10669,NAMAKKAL,Namakkal,GHS PERIYAPATTI,GHS PERIYAPATTYNAMAKKAL,637001
10670,NAMAKKAL,Namakkal,GHS THALIGAI,ThaligaiVelagoundampatti(via),637212
10671,NAMAKKAL,Namakkal,GHS THOTTIPATTI,"GOVERNMENT HIGH SCHOOL,THOTTIPATTI,
VALLIPURAM [PO],  PALAPATTY ROAD, NAMAKKAL[TK],NAMAKKAL[DT].",637003
10672,NAMAKKAL,Namakkal,GHS VETTAMBADI,"GOVERNMENT HIGH SCHOOL\SENDHAMANGALAM ROAD, VETTAMBADI",637405
10673,NAMAKKAL,Namakkal,GHSS  NAMAKKAL (NORTH ),"GHSSNORTH
TIRUCHENGODE ROAD NALLIPALAYAM",637003
10674,NAMAKKAL,Namakkal,GHSS ERNAPURAM,ERNAPURAM\SILUVAMPATTI (PO),637003
10675,NAMAKKAL,Namakkal,GHSS KONUR,GHSS KONUR,637207
S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,"SCHOOL ADDRESS
GOVT.MIDDLE",PINCODE
10676,NAMAKKAL,Namakkal,GMS VAGURAMPATTI,"SCHOOL,VAGURAMPATTIVASANTHAPURAM PG.OV,NEARMNAMKEKNATLH,DIG.tH  SCHOOL,  CINNAMUTHALAIPATTI,",637002
10677,NAMAKKAL,Namakkal,"GOVERNMENT HIGH SCHOOL, CHINNAMUTHALAIPATTY","MUTHALAIPATTI(P.O), NAMAKKAL(Dt)",637003
10678,NAMAKKAL,Namakkal,GOVT HR SEC SCHOOL NAMAKKAL (SOUTH),MOHANUR ROADAMAKKAL,637001
10679,NAMAKKAL,Namakkal,GREEN PARK INTERNATIONAL SCHOOL BODHUPATTY,"OPP. POSTAL NAGAR, BODHUPATTI POST.",637003
10680,NAMAKKAL,Namakkal,GREEN PARK MATRICULATION HIGHER SECONDARY SCHOOL BODHUPATTY,"OPP POSTAL NAGAR, BODHUPATTI POST",637003
10681,NAMAKKAL,Namakkal,"JACK & JILL MATRICULATION SCHOOL,RAMAPURAM PUDUR, NAMAKKAL",39 c Savadi Street Ramapuram pudurnamakkal,637001
10682,NAMAKKAL,Namakkal,"JEIVIKASS HR.SEC SCHOOL, MOHANUR ROAD, NAMAKKAL","SIVAN MALAI, SANNIYASI KARADUMOHANUR ROAD, NAMAKKAL",637002
10683,NAMAKKAL,Namakkal,"KANDASWAMI KANDAR MATRICULATION
HIGHER SECONDARY SCHOOL, GANDHI NAGAR,
NKAOMNGAUKNKADLU MATRIC HIGHER SECONDARY","Kandasamy Kandar Matriculation Higher Secondary School,Gandhi Nagar,   Namakkal",637001
10684,NAMAKKAL,Namakkal,"SCHOOL, NALLIPALAYAM, NAMAKKAL DT - 637003","78, A & B, EAST STREET NALLIPALAYAM NAMAKKAL",637003
10685,NAMAKKAL,Namakkal,KURINJI HSS KAVETTIPATTI,"KURINJI NAGAR, KAVETTIPATTYVALLIPURAM( PO), NAMAKKAL",637003
10686,NAMAKKAL,Namakkal,KURINJI MATRIC HIGHER SECONDARY SCHOOL KAVETTIPATTI,"KURINJI NAGAR, KAVETTIPATTYVALLIPURAM( PO), NAMAKKAL",637003
10687,NAMAKKAL,Namakkal,KURINJI SENIOR SECONDARY SCHOOL KAVETTIPATTI,"KURINJI NAGAR, KAVETTIPATTI, VALLIPURAM POST,
NAMAKKAL - 637003
PHONE: 04286 - 285101, 286101",637003
10688,NAMAKKAL,Namakkal,"MARUTHI VIDDYALAYA  MATRICULATION
SCHOOL, 135/1 PATHI NAGAR, SALEM ROAD, NAMAKKAL DT -637001",135/1 PATHI NAGAR SALEM ROADNAMAKKAL,637001
10689,NAMAKKAL,Namakkal,MHS FORT NAMAKKAL,MUNICIPALITY HIGH SCHOOL FORT NAMAKKAL,637001
10690,NAMAKKAL,Namakkal,MMS RAMAPURAMPUDUR,MUNICIPAL MIDDLE SCHOOL RAMAPURAMPUDURSAVADI STREET,637001
10691,NAMAKKAL,Namakkal,Namakkal District Government Model School,MUDALAIPATTI,
10692,NAMAKKAL,Namakkal,"NAMAKKAL KONGU MATRIC HIGHER
SECONDARY SCHOOL , KEERAMBUR , NAMAKKAL DT -637207","Namakkal Kongu Matric. Hr.Sec.School, Keerambur, Namakkal Dt- 637207",637207
