SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
1,ARIYALUR,Andimadam,ADW HSS POOVANIPATTU,MAINROADANIKIUTHICHAN,621803,
2,ARIYALUR,Andimadam,ADWHS VILANTHAI,ADWHS - VILANTHAITHILAGAR NAGAR ANDIMADAM,621801,
3,ARIYALUR,Andimadam,ALANGARA ANNAI(GIRLS) HSS VARADHARAJANPET,North Street Varadarajanpet,621805,
4,ARIYALUR,Andimadam,ANNAI LOURD(GIRLS)HSS THENNUR,NEW STREET THENNUR ANDIMADAM TK ARIYALUR DT,621805,
5,ARIYALUR,Andimadam,DON BOSCO HR SEC SCHOOL VARADARAJANPET,DON BOSCO STREET VARADARAJANPETANDIMADAM TK,621805,
6,ARIYALUR,Andimadam,FRANS SCHLOOZ SCHOOL OF EXCELLENCE (CBSE),,,
7,ARIYALUR,Andimadam,GHS (GIRLS) ANDIMADAM,VILANDAI-ANDIMADAM,621801,
8,ARIYALUR,Andimadam,GHS ELAIYUR,Kadaiveethi Mainroad- Elaiyur,621806,
9,ARIYALUR,Andimadam,GHS KAVARAPALAYAM,KavarapalayamAndimadam,608901,
10,ARIYALUR,Andimadam,GHS KODDUKKUR,MAIN ROADKODUKKUR,621719,
11,ARIYALUR,Andimadam,GHS KOOVATHUR,GHS- KOOVATHURGHS- KOOVATHUR,621803,
12,ARIYALUR,Andimadam,GHS KUVAGAM,MAIN ROAD KUVAGAM,621710,
13,ARIYALUR,Andimadam,GHS NAGAMPANTHAL,Sivan koil streetnagampanthal,608901,
14,ARIYALUR,Andimadam,GHS OLAIYUR,ANDIMADAM TALUK ARIYALUR DISTRICT,608901,
15,ARIYALUR,Andimadam,GHS PERIYATHATHUR,MAIN ROAD PERIYATHATHUR,621805,
16,ARIYALUR,Andimadam,GHS SILAMBUR,vavanam road in silambur post Andimadam tk Ariyalur Dt.,608901,
17,ARIYALUR,Andimadam,GHS THIRUKALLAPUR,GHS THIRUKALAPUR ANDIMADAM BLOCKSENDURAI EDN(DT) ARIYALUR(DT),621805,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
18,ARIYALUR,Andimadam,GHSS ANDIMADAM,KADUVETTI ROADNEAR ANDIMADAM POLICE STATION,621801,
19,ARIYALUR,Andimadam,GHSS EDAIYAKURICHI,MAIN ROAD EDAYAKURICHI(PO)ANDIMADAM (TK)ARIYALUR (DT),621719,
20,ARIYALUR,Andimadam,GHSS ELAIYUR-VARIYANKAVAL,MAINROAD GOVT HR SEC SCHOOL ELAIYUR-VARIYANKAVAL,621806,
21,ARIYALUR,Andimadam,GHSS MARUDHUR,MAIN ROAD MARUDUR-621710,621710,
22,ARIYALUR,Andimadam,GOVT HSS ALAGAPURAM,Olaiyur road Alagapuram,608901,
23,ARIYALUR,Andimadam,GOVT HR SEC SCHOOL AYYUR,AYYUR AYYUR-PO ANDIMADAM-TK ARIYALUR-DT,608901,
24,ARIYALUR,Andimadam,OHM SAKTHI MATRICULATION SCHOOL,OLAIYUR - ALAGAPURAM ROAD OLAIYUR,608901,
25,ARIYALUR,Andimadam,PUMS AGARAM,PUMS AGARAM ALAGAPURAM(PO) ANDIMADAM BLOCK ARIYALUR DT 608901,608901,
26,ARIYALUR,Andimadam,PUMS CHINNAKARUKKAI,ChinnakarukkaiNagambanthal Post,608901,
27,ARIYALUR,Andimadam,PUMS CHINNATHUKURICHI,PANCHAYAT UNION MIDDLE SCHOOLCHINNATHUKURICHI,608901,
28,ARIYALUR,Andimadam,PUMS DEVANUR,MAIN ROADDEVANUR,621806,
29,ARIYALUR,Andimadam,PUMS DEVANUR,MAIN ROAD DEVANUR,,
30,ARIYALUR,Andimadam,PUMS K VALLAM,K VALLAM PO ANDIMADAM TK,621710,
31,ARIYALUR,Andimadam,PUMS KANGUZHI,PUMS KANGUZHIKANGUZHI,621719,
32,ARIYALUR,Andimadam,PUMS KATTATHUR,PUMS KATTATHURKATTATHUR andimadam block,621803,
33,ARIYALUR,Andimadam,PUMS KEELAPATTI,P U MIDDLE SCHOOLKEELAPATTI,621710,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
