District,College Name,Type
Chengalpattu,"SRM Institute of Science and Technology (SRM University), Kattankulathur",Deemed University
Chengalpattu,"VIT Chennai Campus, Kelambakkam",Deemed University
Chengalpattu,"Hindustan Institute of Technology & Science (HITS), Padur",Deemed University
Chengalpattu,Sathyabama Institute of Science & Technology,Deemed University
Chengalpattu,B.S. Abdur Rahman Crescent Institute of Science and Technology,Deemed University
Chengalpattu,"Jeppiaar Engineering College, Padur",Autonomous / AU Affiliated
Chengalpattu,"SSN College of Engineering, Kalavakkam",Autonomous / AU Affiliated
Chengalpattu,Rajalakshmi Engineering College,Autonomous / AU Affiliated
Chengalpattu,Sri Sairam Engineering College,Autonomous / AU Affiliated
Chengalpattu,Sri Sairam Institute of Technology,Autonomous / AU Affiliated
Chengalpattu,"Agni College of Technology, Thalambur",AU Affiliated / Self-Financing
Chengalpattu,"KCG College of Technology, Karapakkam",AU Affiliated / Self-Financing
Chengalpattu,PERI Institute of Technology,AU Affiliated / Self-Financing
Chengalpattu,Tagore Engineering College,AU Affiliated / Self-Financing
Chengalpattu,Jerusalem College of Engineering,AU Affiliated / Self-Financing
Chengalpattu,Prince Shri Venkateshwara Padmavathy Engineering College,AU Affiliated / Self-Financing
Chengalpattu,Prince Dr. K. Vasudevan College of Engineering,AU Affiliated / Self-Financing
Chengalpattu,New Prince Shri Bhavani College of Engineering & Technology,AU Affiliated / Self-Financing
Chengalpattu,DMI College of Engineering,AU Affiliated / Self-Financing
Chengalpattu,Alpha College of Engineering,AU Affiliated / Self-Financing
Chengalpattu,GKM College of Engineering and Technology,AU Affiliated / Self-Financing
Chengalpattu,Gopal Ramalingam Memorial Engineering College,AU Affiliated / Self-Financing
Chengalpattu,Aarupadai Veedu Institute of Technology (AVIT),Deemed University
Chengalpattu,Rajalakshmi Institute of Technology,AU Affiliated / Self-Financing
Chengalpattu,St. Joseph’s Institute of Technology,AU Affiliated / Self-Financing
Chengalpattu,Asan Memorial College of Engineering & Technology,AU Affiliated / Self-Financing
Chengalpattu,Balaji Institute of Engineering & Technology,AU Affiliated / Self-Financing
Chengalpattu,Sree Sastha Institute of Engineering and Technology,AU Affiliated / Self-Financing
Chengalpattu,Jeppiaar SRR Engineering College,AU Affiliated / Self-Financing
Chengalpattu,Velammal Engineering College – OMR Extension,AU Affiliated / Self-Financing
Chengalpattu,Kumaran Institute of Technology,AU Affiliated / Self-Financing
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
